Latitude,Longitude,tsoil
47.6,22.2,11.677296724868215
47.6,22.3,11.68690412232667
47.6,22.4,11.613825808451175
47.6,22.5,11.67553931191241
47.6,22.6,11.630615249509258
47.6,22.7,11.583810827564797
47.6,22.8,11.494768054551097
47.6,22.9,11.409315528463656
47.6,23.0,11.218456968695124
47.6,23.1,10.347202706891238
47.6,23.2,11.017722388676482
47.6,23.3,10.750651926851873
47.6,23.4,11.123648104142978
47.6,23.5,10.94964459138331
47.6,23.6,10.406413369149714
47.6,23.7,10.251422151048656
47.6,23.8,8.69288924475665
47.6,23.9,7.766761029031908
47.6,24.0,6.926622068395464
47.6,24.1,6.116826634982961
47.6,24.2,6.180162723421862
47.6,24.3,7.816571959913244
47.6,24.4,6.316262010538276
47.6,24.5,5.5833412542617955
47.6,24.6,2.9819981403037388
47.6,24.7,4.292832937286913
47.6,24.8,3.5758415125529632
47.6,24.9,4.284480834796999
47.6,25.0,3.537467713606784
47.6,25.1,5.079396115301178
47.6,25.2,3.8416788924475784
47.6,25.3,4.891614836243447
47.6,25.4,5.998472466163847
47.6,25.5,4.199718462651114
47.6,25.6,6.3886863312325275
47.6,25.7,6.277140717016202
47.6,25.8,6.161410269655948
47.6,25.9,8.431524434342434
47.6,26.0,9.090864242173822
47.6,26.1,9.244242173778286
47.6,26.2,9.367694493232761
47.6,26.3,9.790681372042577
47.6,26.4,10.082266763095337
47.6,26.5,10.090310465957272
47.6,26.6,10.166195371422631
47.6,26.7,10.815079037090559
47.6,26.8,10.51705496435589
47.6,26.9,11.044028825291921
47.6,27.0,11.17240933980778
47.6,27.1,11.402089058787091
47.6,27.2,11.100127079243702
47.6,27.3,11.125414815580115
47.6,27.4,11.4850971174708
47.6,27.5,10.9409696249613
47.5,22.0,11.836530633329854
47.5,22.1,11.801789957640198
47.5,22.2,11.788321624134728
47.5,22.3,11.745496952164439
47.5,22.4,11.74643506560599
47.5,22.5,11.65423700795529
47.5,22.6,11.564839342907344
47.5,22.7,11.426376175224746
47.5,22.8,11.44365172021904
47.5,22.9,11.239785101766726
47.5,23.0,11.02943382580846
47.5,23.1,10.73921944415749
47.5,23.2,10.992900092984817
47.5,23.3,11.105438578365533
47.5,23.4,10.993462651100359
47.5,23.5,10.55329992767848
47.5,23.6,10.718407376795076
47.5,23.7,10.491844198780854
47.5,23.8,9.047677446017122
47.5,23.9,9.877036367393377
47.5,24.0,9.386670110548604
47.5,24.1,8.48772290525881
47.5,24.2,5.1292209939043545
47.5,24.3,3.2543713193511725
47.5,24.4,6.35966215518131
47.5,24.5,7.293405310465999
47.5,24.6,3.043572683128414
47.5,24.7,6.476558012191344
47.5,24.8,2.905564107862379
47.5,24.9,0.6748439921479483
47.5,25.0,5.615050625064589
47.5,25.1,1.788472982746144
47.5,25.2,5.434860522781284
47.5,25.3,3.932805041843169
47.5,25.4,6.4457697076144
47.5,25.5,6.52099338774669
47.5,25.6,6.969116127699141
47.5,25.7,5.9731904122326895
47.5,25.8,8.096279574336128
47.5,25.9,6.679430726314694
47.5,26.0,8.783521541481532
47.5,26.1,9.073430106415966
47.5,26.2,9.658664118194084
47.5,26.3,9.485315631780137
47.5,26.4,9.666037297241447
47.5,26.5,10.13721923752454
47.5,26.6,10.222962599442111
47.5,26.7,8.338298894513933
47.5,26.8,10.220898336604996
47.5,26.9,10.884483934290738
47.5,27.0,11.317590143609891
47.5,27.1,11.366954747391224
47.5,27.2,11.193200743878476
47.5,27.3,11.53797913007534
47.5,27.4,11.466543031304814
47.5,27.5,11.576031614836252
47.5,27.6,11.252789027792117
47.4,21.9,11.973359851224364
47.4,22.0,11.866001136481009
47.4,22.1,11.937229052588002
47.4,22.2,11.737781795640036
47.4,22.3,11.51915952061156
47.4,22.4,11.427497158797362
47.4,22.5,11.4633288562868
47.4,22.6,11.39117729104249
47.4,22.7,10.929010744911677
47.4,22.8,11.035067672280183
47.4,22.9,11.176566794090402
47.4,23.0,10.956162826738305
47.4,23.1,11.181002169645614
47.4,23.2,10.61798584564529
