Latitude,Longitude,tmax
48.0,26.5,14.102147949168264
48.0,26.6,13.943465750594017
48.0,26.7,14.304887901642767
48.0,26.8,14.59692995144117
48.0,26.9,14.552343733856762
48.0,27.0,14.397224919929785
48.0,27.1,14.946017667114411
48.0,27.2,14.428726108069084
47.9,22.5,15.64039156937697
47.9,22.7,15.614751007335462
47.9,22.8,15.582017770430763
47.9,22.9,15.53414763921899
47.9,23.0,15.55179822295697
47.9,23.1,15.521067259014274
47.9,23.2,15.5149653889865
47.9,23.3,15.253129972104443
47.9,23.4,15.296801839032957
47.9,23.5,12.858190412232652
47.9,23.6,11.056192788511142
47.9,23.7,11.110167889244808
47.9,23.8,12.95486672176886
47.9,23.9,13.331523917760098
47.9,24.0,14.42782570513479
47.9,24.1,11.189161586940807
47.9,24.2,10.248205393119143
47.9,24.3,7.47229620828598
47.9,24.4,11.85477477012087
47.9,24.5,10.665649860522771
47.9,24.6,10.61913937390223
47.9,24.7,6.741373592313277
47.9,24.8,7.60259117677452
47.9,25.2,10.561319867754865
47.9,25.3,9.735138960636537
47.9,25.4,9.61986982126256
47.9,25.5,12.894010228329334
47.9,25.6,13.022501291455741
47.9,25.7,13.154955573922935
47.9,25.8,13.329835210248978
47.9,25.9,13.446505320797588
47.9,26.0,13.257830354375415
47.9,26.1,13.404717429486507
47.9,26.2,13.738376898439867
47.9,26.3,13.257332885628713
47.9,26.4,14.257981196404602
47.9,26.5,14.473477631986746
47.9,26.6,14.559967455315684
47.9,26.7,14.706315735096657
47.9,26.8,14.756657712573487
47.9,26.9,14.540670007232126
47.9,27.0,14.870118813927085
47.9,27.1,14.145898853187319
47.9,27.2,14.99353187312743
47.9,27.3,14.423427006922186
47.8,22.2,15.47299101146817
47.8,22.3,15.49818782932132
47.8,22.4,15.683978716809484
47.8,22.5,15.664114061370066
47.8,22.6,15.629999999999974
47.8,22.7,15.602178427523512
47.8,22.8,15.563139270585928
47.8,22.9,15.572111271825518
47.8,23.0,15.571564727761167
47.8,23.1,15.510278954437501
47.8,23.2,15.48650997003823
47.8,23.3,15.397191342080857
47.8,23.4,13.791771877260077
47.8,23.5,11.254965388986495
47.8,23.6,9.960877156731078
47.8,23.7,9.644954540758329
47.8,23.8,10.398674966422154
47.8,23.9,14.334412129352211
47.8,24.0,13.534396631883414
47.8,24.1,11.846190722182062
47.8,24.2,13.376763095361056
47.8,24.3,14.055402934187343
